Processes: 407 total, 2 running, 1 stuck, 404 sleeping, 2456 threads 
2021/10/12 23:10:17
Load Avg: 2.18, 2.36, 2.43 
CPU usage: 6.49% user, 18.83% sys, 74.67% idle 
SharedLibs: 179M resident, 34M data, 7968K linkedit.
MemRegions: 173935 total, 1375M resident, 93M private, 991M shared.
PhysMem: 7472M used (1639M wired), 69M unused.
VM: 142T vsize, 3272M framework vsize, 2493065(0) swapins, 2877040(0) swapouts.
Networks: packets: 3112051/3026M in, 2024636/279M out.
Disks: 4352116/147G read, 975924/54G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG CMPRS PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW   MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
7208  Terminal         0.0  00:24.56 13    7   333    58M   0B   17M   7208 1    sleeping *0[185]     0.00000 0.00000    501 676498   964   187172   32156    251505   393131   123348    4135    100   0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7201  FinderSync       0.0  00:00.59 5     1   188    42M   0B   165M  7201 1    sleeping *0[15]      0.00000 0.00000    501 48069    392   3172     1230     11094    8231     4935      3060    1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7200  QuickLookUIServi 0.0  00:00.11 3     1   137    5841K 0B   3200K 7200 1    sleeping  0[163]     0.00000 0.00000    501 9863     120   1608     421      2482     4087     2131      50      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7198  com.apple.appkit 0.0  00:01.16 3     1   211    26M   0B   22M   7198 1    sleeping  0[226]     0.00000 0.00000    501 28746    206   18258    6832     76067    18903    12406     876     0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7196  MTLCompilerServi 0.0  00:00.21 2     1   32     19M   0B   18M   7196 1    sleeping *0[28]      0.00000 0.00000    501 3335     76    272      67       1853     452      375       13      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7195  MTLCompilerServi 0.0  00:00.91 2     1   32     41M   0B   41M   7195 1    sleeping *0[22]      0.00000 0.00000    501 6329     77    253      65       2151     406      1266      69      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7192  Preview          0.0  00:25.36 5     1   301    91M   0B   50M   7192 1    sleeping *0[174]     0.00000 0.00000    501 171372   279   187638   33036    144424   391316   144736    7470    93    0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7190  com.apple.Safari 0.0  00:00.19 3     1   141    8690K 0B   6176K 7190 1    sleeping  0[169]     0.00000 0.00000    501 9639     135   1667     459      2974     4227     2427      563     1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7187  VTDecoderXPCServ 0.0  00:31.82 7     3   88     62M   0B   3088K 7187 1    sleeping *917[20]    0.00000 0.00000    501 32804    90    1902369  444217   308469   717723   222863    231     0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7185  misagent         0.0  00:00.00 2     1   20     1265K 0B   1088K 7185 1    sleeping *0[3]       0.00000 0.00000    0   361      49    72       34       377      183      46        4       0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7165  AppleSpell       0.0  00:01.23 2     1   108    21M   0B   20M   7165 1    sleeping *0[1]       0.00000 0.00000    501 10924    162   1008     247      19916    2209     5355      2525    1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7151  com.apple.WebKit 0.0  00:03.58 4     1   108    133M  0B   112M  7151 1    sleeping  0[404]     0.00000 0.00000    501 113983   282   12964    5759     52479    45480    23593     1612    6     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7144  com.apple.WebKit 0.0  00:01.80 4     1   109    88M   0B   63M   7144 1    sleeping  0[683]     0.00000 0.00000    501 57084    214   14951    6458     22172    48850    15336     264     18    0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7138  pbs              0.0  00:00.06 3     2   40     2609K 0B   2288K 7138 1    sleeping *0[8]       0.00000 0.00000    501 1982     59    254      99       1703     552      495       45      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7137  com.apple.WebKit 0.0  00:06.32 4     1   110    126M  256K 107M  7137 1    sleeping  0[1430]    0.00000 0.00000    501 226349   286   21081    9574     100047   127338   45944     1190    11    0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7121  MTLCompilerServi 0.0  00:00.14 2     1   32     12M   0B   12M   7121 1    sleeping *0[16]      0.00000 0.00000    501 3099     76    208      54       1115     388      843       102     0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7104  com.apple.WebKit 0.0  00:14.81 4     1   114    276M  0B   108M  7104 1    sleeping *0[10343]   0.00000 0.00000    501 281935   2758  132931   57924    171373   304830   117751    4876    71    0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7098  swcd             0.0  00:00.25 2     1   42     3186K 0B   2768K 7098 1    sleeping *0[22]      0.00000 0.00000    501 2897     76    280      87       2512     479      871       194     1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7094  translationd     0.0  00:00.22 2     1   38     3650K 0B   3296K 7094 1    sleeping *0[41]      0.00000 0.00000    501 5722     84    560      166      2877     805      1428      399     1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7079  sysmond          0.0  00:00.51 2     1   16     2194K 0B   1856K 7079 1    sleeping *0[1]       0.00000 0.00000    0   1170     53    14712    7482     14976    12540    2761      45      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7074  triald           0.0  00:00.19 2     1   52     3121K 0B   2784K 7074 1    sleeping  0[0]       0.00000 0.00000    501 2770     84    226      61       2145     458      1216      472     1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7072  parsec-fbf       0.0  00:00.13 2     1   40     3361K 0B   3040K 7072 1    sleeping  0[0]       0.00000 0.00000    501 4093     98    299      104      1511     648      1090      72      1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7071  parsecd          0.0  00:00.92 2     1   73     5954K 0B   2512K 7071 1    sleeping *0[235]     0.00000 0.00000    501 17176    164   1667     448      7778     2442     7368      1830    13    0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7070  talagent         0.0  00:00.15 2     1   136    5794K 0B   5120K 7070 1    sleeping *0[1]       0.00000 0.00000    501 6314     112   1012     242      2281     2392     1814      32      1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7061  CoreLocationAgen 0.0  00:00.24 3     1   169    5762K 0B   5024K 7061 1    sleeping *0[1]       0.00000 0.00000    501 6973     118   1075     269      2605     2595     2159      332     1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7040  com.apple.hiserv 0.0  00:00.75 2     1   59     2593K 0B   1200K 7040 1    sleeping *0[2444]    0.00000 0.00000    501 5160     60    10210    4954     13157    10419    8909      21      1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
